d18O SMOW;Analysis;Date;clock time;time after start single run (h);east-west (um);north-south (um);primary current (nA);16O ions per sec;18O/16O measured;1 SE (permil);16O1H/16O measured;1 SE (%);DT-FA-x (digits);DT-FA-y (digits);entrance slit x (digits);Source Pressure (mbar);18O/16O IMF corrected;d18O SMOW
24.42;Map-Otolith@0814;28.11.2021;13:04;43.94;2268;-2390;2.89;1.92E+09;0.00204477;0.09;0.0386;0.18;43;-27;3;1.00E-08;0.00205417;24.42
24.42;Map-Otolith@0274;27.11.2021;07:03;14.89;1954;-2144;2.86;1.79E+09;0.00204477;0.15;0.0396;0.11;46;-26;9;1.20E-08;0.00205417;24.42
24.42;Map-Otolith@0091;26.11.2021;20:54;5.07;1955;-2103;2.78;1.75E+09;0.00204477;0.13;0.0434;0.07;41;-16;6;1.30E-08;0.00205417;24.42
24.43;Map-Otolith@0479;27.11.2021;18:25;25.94;1915;-3004;2.91;1.81E+09;0.00204478;0.14;0.0418;0.12;43;-25;9;1.10E-08;0.00205418;24.43
24.43;Map-Otolith@0002;26.11.2021;16:00;0.17;1636;-2560;2.85;1.86E+09;0.00204479;0.15;0.0454;0.08;22;3;5;1.30E-08;0.00205419;24.43
24.45;Map-Otolith@0134;26.11.2021;23:16;7.43;1676;-2289;2.77;1.73E+09;0.00204482;0.12;0.0466;0.07;44;-19;8;1.30E-08;0.00205422;24.45
24.45;Map-Otolith@0230;27.11.2021;04:38;12.48;2426;-2963;2.89;1.84E+09;0.00204483;0.13;0.0412;0.14;46;-26;3;1.20E-08;0.00205423;24.45
24.46;Map-Otolith@0159;27.11.2021;00:38;8.8;2622;-2676;2.79;1.75E+09;0.00204484;0.12;0.0463;0.19;46;-23;4;1.20E-08;0.00205424;24.46
24.46;Map-Otolith@0276;27.11.2021;07:10;15.01;2347;-2021;2.86;1.78E+09;0.00204485;0.09;0.0416;0.07;46;-28;7;1.20E-08;0.00205425;24.46
24.46;Map-Otolith@0165;27.11.2021;00:58;9.13;2347;-2308;2.8;1.73E+09;0.00204485;0.12;0.0471;0.34;45;-22;9;1.20E-08;0.00205425;24.46
24.47;Map-Otolith@0736;28.11.2021;08:40;39.54;1915;-2185;2.9;1.88E+09;0.00204486;0.11;0.0391;0.04;37;-31;5;1.00E-08;0.00205426;24.47
24.47;Map-Otolith@0111;26.11.2021;22:00;6.17;2425;-2103;2.77;1.75E+09;0.00204487;0.12;0.0436;0.17;44;-21;7;1.20E-08;0.00205427;24.47
24.48;Map-Otolith@0580;27.11.2021;23:58;31.16;2111;-1898;3.01;1.95E+09;0.00204489;0.11;0.0372;0.06;44;-29;2;1.10E-08;0.00205429;24.48
24.48;Map-Otolith@0292;27.11.2021;08:03;15.89;2386;-2717;2.85;1.77E+09;0.00204489;0.09;0.0431;0.06;47;-25;7;1.20E-08;0.00205429;24.48
24.48;Map-Otolith@0205;27.11.2021;03:16;11.11;2308;-2635;2.85;1.78E+09;0.00204489;0.14;0.0476;0.31;47;-23;4;1.20E-08;0.00205429;24.48
24.48;Map-Otolith@0070;26.11.2021;19:44;3.9;2308;-2472;2.78;1.76E+09;0.00204489;0.14;0.0431;0.49;39;-15;3;1.30E-08;0.00205429;24.48
24.49;Map-Otolith@0455;27.11.2021;17:06;24.62;2386;-2676;2.92;1.85E+09;0.0020449;0.13;0.0428;0.21;45;-24;8;1.10E-08;0.0020543;24.49
24.49;Map-Otolith@0695;28.11.2021;06:24;37.27;1876;-1898;2.92;1.90E+09;0.0020449;0.1;0.0441;0.3;37;-30;8;1.00E-08;0.0020543;24.49
24.49;Map-Otolith@0666;28.11.2021;04:49;35.69;2111;-3413;2.93;1.80E+09;0.0020449;0.14;0.0435;0.48;42;-16;7;1.10E-08;0.0020543;24.49
24.49;Map-Otolith@0582;28.11.2021;00:05;31.28;2465;-2799;3.03;1.94E+09;0.0020449;0.1;0.0423;0.11;46;-25;2;1.10E-08;0.0020543;24.49
24.49;Map-Otolith@0642;28.11.2021;03:30;34.7;2072;-1816;2.92;1.87E+09;0.0020449;0.11;0.0382;0.19;41;-30;7;1.10E-08;0.0020543;24.49
