Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
2@16	29.48	-3557	6285	2.60	2.13E+09	0.00205320	0.191	2.89E-02	5	-33	-5	0.00205572	25.19	
2@17	29.55	-3577	6256	2.60	2.13E+09	0.00205250	0.189	2.78E-02	4	-33	-4	0.00205501	24.84	
2@18	29.62	-3597	6228	2.60	2.12E+09	0.00205217	0.163	2.94E-02	4	-33	-5	0.00205469	24.68	
2@19	29.68	-3617	6200	2.60	2.13E+09	0.00205233	0.191	2.60E-02	4	-33	-4	0.00205484	24.76	
2@20	29.75	-3637	6172	2.60	2.12E+09	0.00205258	0.205	2.38E-02	4	-32	-5	0.00205510	24.88	
2@21	29.82	-3657	6143	2.61	2.12E+09	0.00205292	0.140	2.17E-02	4	-33	-6	0.00205544	25.05	
2@22	29.88	-3676	6115	2.60	2.10E+09	0.00205385	0.157	1.78E-02	4	-32	-7	0.00205637	25.52	
2@23	29.95	-3695	6087	2.60	9.19E+08	0.00202685	0.204	2.99E-02	-5	-40	-61	0.00202934	12.04	
2@24	30.02	-3714	6059	2.59	1.86E+09	0.00204607	0.257	1.90E-02	5	-35	33	0.00204858	21.63	
2@25	30.08	-3733	6030	2.59	2.06E+09	0.00205533	0.218	1.89E-02	3	-31	1	0.00205784	26.25	
2@26	30.15	-3752	6002	2.59	2.10E+09	0.00205314	0.158	2.08E-02	3	-31	-4	0.00205565	25.16	
2@27	30.22	-3771	5974	2.59	2.11E+09	0.00205546	0.158	1.95E-02	3	-31	-5	0.00205798	26.32	
2@28	30.28	-3790	5945	2.64	2.09E+09	0.00205544	0.181	2.57E-02	3	-31	-7	0.00205796	26.31	
2@29	30.37	-3809	5917	2.59	2.11E+09	0.00205074	0.159	2.56E-02	3	-30	-7	0.00205325	23.96	
2@30	30.43	-3828	5889	2.59	2.11E+09	0.00205019	0.199	2.63E-02	2	-30	-5	0.00205270	23.69	
2@31	30.63	-3847	5861	2.58	2.10E+09	0.00205097	0.184	2.87E-02	2	-30	-5	0.00205348	24.08	
2@32	30.70	-3866	5832	2.57	2.05E+09	0.00204900	0.117	3.60E-02	2	-28	-6	0.00205151	23.09	
2@33	30.77	-3885	5804	2.57	2.11E+09	0.00205124	0.175	2.85E-02	2	-29	-5	0.00205376	24.22	
2@34	30.83	-3904	5776	2.57	2.10E+09	0.00205186	0.195	2.59E-02	2	-29	-6	0.00205437	24.52	
2@35	30.90	-3923	5748	2.57	2.09E+09	0.00205303	0.198	2.60E-02	1	-29	-5	0.00205555	25.11	
2@36	30.97	-3942	5719	2.57	2.09E+09	0.00205328	0.158	2.73E-02	1	-29	-5	0.00205580	25.23	
2@37	31.03	-3961	5691	2.57	2.07E+09	0.00204949	0.153	2.71E-02	0	-28	-5	0.00205200	23.34	
2@38	31.10	-3980	5663	2.56	2.09E+09	0.00205001	0.161	2.70E-02	0	-28	-5	0.00205252	23.60	
