Mount	SIMS_ID	Fish_ID	Distance_um	Na/Ca	Mg/Ca	Mn/Ca	Sr/Ca	Ba/Ca	comment	
035	A	BH-93152	1001.0	7.73E-03	7.71E-05	1.13E-05	4.13E-03	3.09E-06		
035	A	BH-93152	995.5	7.41E-03	7.30E-05	1.07E-05	3.79E-03	2.19E-06		
035	A	BH-93152	990.0	8.14E-03	7.45E-05	1.38E-05	3.83E-03	2.97E-06		
035	A	BH-93152	984.5	8.55E-03	7.38E-05	1.44E-05	4.29E-03	2.84E-06		
035	A	BH-93152	979.0	7.92E-03	7.16E-05	1.38E-05	4.32E-03	2.83E-06		
035	A	BH-93152	973.5	7.03E-03	7.41E-05	1.36E-05	4.32E-03	3.29E-06		
035	A	BH-93152	968.0	6.69E-03	7.79E-05	1.09E-05	4.11E-03	2.47E-06		
035	A	BH-93152	962.5	5.97E-03	6.64E-05	5.77E-06	3.32E-03	1.73E-06		
035	A	BH-93152	957.0	6.28E-03	5.69E-05	1.04E-05	3.06E-03	1.88E-06		
035	A	BH-93152	951.5	6.34E-03	4.84E-05	1.25E-05	2.93E-03	1.88E-06		
035	A	BH-93152	946.0	8.59E-03	5.37E-05	2.12E-05	3.39E-03	2.02E-06		
035	A	BH-93152	940.5	8.56E-03	7.02E-05	2.65E-05	3.65E-03	1.90E-06		
035	A	BH-93152	935.0	8.84E-03	7.87E-05	2.79E-05	3.76E-03	2.00E-06		
035	A	BH-93152	929.5	9.40E-03	1.01E-04	2.84E-05	3.84E-03	2.30E-06		
035	A	BH-93152	924.0	8.64E-03	1.05E-04	1.74E-05	3.59E-03	2.67E-06		
035	A	BH-93152	918.5	9.25E-03	9.07E-05	1.26E-05	3.75E-03	3.31E-06		
035	A	BH-93152	913.0	9.25E-03	1.01E-04	2.00E-05	3.75E-03	3.62E-06		
035	A	BH-93152	907.5	9.07E-03	8.75E-05	1.92E-05	3.60E-03	3.89E-06		
035	A	BH-93152	902.0	7.95E-03	7.31E-05	2.17E-05	3.21E-03	3.62E-06		
035	A	BH-93152	896.5	7.46E-03	7.65E-05	2.04E-05	2.63E-03	3.12E-06		
035	A	BH-93152	891.0	7.46E-03	7.98E-05	2.04E-05	2.96E-03	2.75E-06		
035	A	BH-93152	885.5	8.11E-03	1.00E-04	2.74E-05	2.83E-03	2.99E-06		
035	A	BH-93152	880.0	8.38E-03	1.04E-04	3.74E-05	2.79E-03	3.10E-06		
035	A	BH-93152	874.5	8.42E-03	1.09E-04	4.25E-05	3.09E-03	3.41E-06		
035	A	BH-93152	869.0	8.61E-03	1.14E-04	4.44E-05	3.23E-03	4.11E-06		
035	A	BH-93152	863.5	8.69E-03	1.04E-04	3.92E-05	3.47E-03	2.83E-06		
035	A	BH-93152	858.0	8.62E-03	1.12E-04	3.80E-05	3.38E-03	2.75E-06		
035	A	BH-93152	852.5	8.88E-03	1.23E-04	3.75E-05	3.29E-03	2.40E-06		
035	A	BH-93152	847.0	8.16E-03	1.03E-04	3.62E-05	2.80E-03	1.44E-06		
035	A	BH-93152	841.5	8.16E-03	1.03E-04	3.62E-05	2.71E-03	1.65E-06		
035	A	BH-93152	836.0	7.75E-03	9.66E-05	3.04E-05	2.48E-03	2.28E-06		
035	A	BH-93152	830.5	7.66E-03	9.94E-05	3.77E-05	2.51E-03	2.87E-06		
035	A	BH-93152	825.0	7.81E-03	1.03E-04	4.33E-05	2.58E-03	3.57E-06		
035	A	BH-93152	819.5	7.81E-03	9.41E-05	4.75E-05	2.51E-03	3.39E-06		
035	A	BH-93152	814.0	8.80E-03	9.93E-05	5.07E-05	2.59E-03	3.52E-06		
035	A	BH-93152	808.5	9.01E-03	1.07E-04	4.19E-05	2.65E-03	4.01E-06		
035	A	BH-93152	803.0	8.55E-03	9.47E-05	3.76E-05	2.74E-03	4.14E-06		
035	A	BH-93152	797.5	7.75E-03	1.06E-04	3.36E-05	2.88E-03	4.18E-06		
035	A	BH-93152	792.0	7.80E-03	1.13E-04	3.38E-05	3.03E-03	4.90E-06		
035	A	BH-93152	786.5	8.19E-03	9.90E-05	3.77E-05	3.11E-03	4.47E-06		
035	A	BH-93152	781.0	7.70E-03	9.29E-05	3.34E-05	2.92E-03	2.59E-06		
035	A	BH-93152	775.5	7.79E-03	8.64E-05	3.87E-05	2.89E-03	3.91E-06		
035	A	BH-93152	770.0	7.38E-03	7.60E-05	4.01E-05	2.71E-03	3.91E-06		
035	A	BH-93152	764.5	8.40E-03	8.68E-05	4.31E-05	3.09E-03	4.40E-06		
035	A	BH-93152	759.0	9.22E-03	1.11E-04	4.80E-05	3.32E-03	4.74E-06		
035	A	BH-93152	753.5	9.40E-03	1.53E-04	4.54E-05	3.29E-03	4.57E-06		
035	A	BH-93152	748.0	9.08E-03	1.48E-04	3.61E-05	3.44E-03	4.07E-06		
035	A	BH-93152	742.5	9.46E-03	1.46E-04	3.85E-05	3.37E-03	3.66E-06		
035	A	BH-93152	737.0	8.48E-03	1.22E-04	3.71E-05	3.19E-03	3.20E-06		
035	A	BH-93152	731.5	8.59E-03	1.20E-04	3.83E-05	3.37E-03	2.87E-06		
035	A	BH-93152	726.0	9.41E-03	1.29E-04	4.07E-05	3.22E-03	2.45E-06		
035	A	BH-93152	720.5	8.38E-03	1.30E-04	3.47E-05	3.24E-03	2.72E-06		
035	A	BH-93152	715.0	8.54E-03	1.28E-04	3.42E-05	3.19E-03	3.86E-06		
035	A	BH-93152	709.5	8.11E-03	1.08E-04	3.61E-05	3.16E-03	3.75E-06		
035	A	BH-93152	704.0	8.83E-03	1.04E-04	4.61E-05	3.71E-03	4.53E-06		
035	A	BH-93152	698.5	8.93E-03	9.21E-05	4.61E-05	3.71E-03	4.53E-06		
035	A	BH-93152	693.0	9.05E-03	9.34E-05	4.68E-05	3.53E-03	5.10E-06		
035	A	BH-93152	687.5	9.39E-03	1.05E-04	4.68E-05	3.29E-03	5.79E-06		
035	A	BH-93152	682.0	8.69E-03	1.34E-04	4.90E-05	3.13E-03	5.76E-06		
035	A	BH-93152	676.5	8.21E-03	1.34E-04	6.41E-05	3.22E-03	5.99E-06		
035	A	BH-93152	671.0	8.67E-03	1.41E-04	7.83E-05	3.29E-03	5.38E-06		
035	A	BH-93152	665.5	8.77E-03	1.46E-04	8.34E-05	3.50E-03	6.10E-06		
035	A	BH-93152	660.0	8.77E-03	1.41E-04	8.45E-05	4.12E-03	5.36E-06		
035	A	BH-93152	654.5	9.16E-03	1.38E-04	8.26E-05	4.09E-03	3.78E-06		
035	A	BH-93152	649.0	9.26E-03	1.17E-04	8.66E-05	3.64E-03	5.18E-06		
035	A	BH-93152	643.5	8.52E-03	1.07E-04	9.64E-05	3.35E-03	4.08E-06		
035	A	BH-93152	638.0	8.76E-03	1.18E-04	1.06E-04	3.48E-03	3.85E-06		
035	A	BH-93152	632.5	9.05E-03	1.53E-04	1.12E-04	3.66E-03	5.07E-06		
