Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
#O-S88@28	27.10	3936	-980	2.39	2.20E+09	0.00203956	0.16	0.0275	6	-7	28	0.00204913	21.91	
#O-S88@29	27.17	3959	-952	2.38	2.18E+09	0.00204338	0.20	0.0286	5	-7	29	0.00205298	23.83	
#O-S88@30	27.23	3981	-924	2.39	2.18E+09	0.00204252	0.19	0.0282	6	-6	27	0.00205210	23.39	
#O-S88@31	27.30	4004	-896	2.38	2.19E+09	0.00204341	0.21	0.0299	7	-6	28	0.00205301	23.84	
#O-S88@32	27.37	4027	-868	2.39	2.19E+09	0.00204235	0.20	0.0298	6	-8	28	0.00205194	23.31	
#O-S88@33	27.43	4050	-840	2.39	2.21E+09	0.00204261	0.18	0.0293	7	-8	27	0.00205220	23.44	
#O-S88@34	27.63	4072	-812	2.39	2.19E+09	0.00204571	0.20	0.0248	8	-6	28	0.00205532	24.99	
#O-S88@35	27.72	4095	-784	2.39	2.19E+09	0.00204013	0.20	0.0287	8	-8	28	0.00204971	22.20	
#O-S88@36	27.78	4118	-756	2.38	2.18E+09	0.00203927	0.17	0.0288	8	-8	28	0.00204884	21.76	
#O-S88@37	27.85	4140	-728	2.39	2.19E+09	0.00204110	0.19	0.0250	8	-7	27	0.00205068	22.68	
#O-S88@38	27.92	4163	-700	2.39	2.17E+09	0.00204288	0.16	0.0245	9	-8	28	0.00205247	23.57	
#O-S88@39	27.98	4186	-672	2.40	2.18E+09	0.00204325	0.16	0.0229	9	-8	27	0.00205284	23.76	
#O-S88@40	28.05	4209	-644	2.40	2.19E+09	0.00204335	0.19	0.0239	10	-7	28	0.00205294	23.81	
#O-S88@41	28.12	4231	-616	2.40	2.20E+09	0.00204454	0.19	0.0239	8	-9	27	0.00205413	24.40	
#O-S88@42	28.18	4254	-588	2.40	2.19E+09	0.00204671	0.15	0.0263	10	-9	28	0.00205632	25.49	
#O-S88@43	28.25	4277	-560	2.40	2.20E+09	0.00204654	0.19	0.0258	11	-8	28	0.00205614	25.41	
