Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment										
B-S88@40	6.67	-3485	6233	2.44	1.95E+09	0.00204435	0.171	0.0346	19	-12	-25	0.00204812	21.40											
B-S88@41	6.73	-3457	6255	2.44	2.12E+09	0.00204579	0.179	0.0312	18	-12	-27	0.00204955	22.12											
B-S88@42	6.80	-3429	6277	2.44	2.13E+09	0.00204494	0.158	0.0318	18	-12	-26	0.00204871	21.70											
C-S88@01	6.87	-2482	5922	2.44	2.10E+09	0.00205458	0.162	0.0213	16	-6	-25	0.00205836	26.51											
C-S88@02	6.93	-2447	5917	2.44	2.11E+09	0.00205419	0.180	0.0234	16	-6	-24	0.00205797	26.32											
C-S88@03	7.00	-2412	5912	2.44	2.12E+09	0.00205285	0.170	0.0256	15	-5	-24	0.00205662	25.65											
C-S88@04	7.07	-2377	5908	2.44	2.13E+09	0.00205248	0.188	0.0247	16	-6	-25	0.00205625	25.46											
C-S88@05	7.15	-2342	5903	2.44	2.10E+09	0.00205257	0.152	0.0265	16	-6	-24	0.00205635	25.51											
C-S88@06	7.22	-2307	5899	2.44	2.10E+09	0.00205454	0.135	0.0235	16	-5	-25	0.00205832	26.49											
C-S88@07	7.28	-2272	5895	2.43	2.11E+09	0.00205355	0.169	0.0230	15	-5	-25	0.00205733	26.00											
C-S88@08	7.35	-2237	5890	2.43	2.12E+09	0.00205232	0.145	0.0230	15	-6	-25	0.00205610	25.38											
C-S88@09	7.42	-2202	5886	2.43	2.10E+09	0.00205212	0.174	0.0227	16	-6	-27	0.00205590	25.28											
C-S88@10	7.48	-2167	5881	2.43	2.10E+09	0.00205240	0.146	0.0225	15	-4	-27	0.00205617	25.42											
C-S88@11	7.55	-2132	5877	2.43	2.11E+09	0.00205223	0.152	0.0225	17	-5	-28	0.00205601	25.34											
C-S88@12	7.63	-2097	5873	2.42	2.09E+09	0.00205232	0.150	0.0206	16	-5	-26	0.00205609	25.38											
C-S88@13	7.70	-2062	5868	2.43	2.11E+09	0.00205301	0.155	0.0232	15	-5	-26	0.00205679	25.73											
C-S88@14	7.90	-2027	5864	2.42	2.10E+09	0.00205139	0.168	0.0229	15	-6	-28	0.00205516	24.92											
C-S88@15	7.97	-1992	5860	2.42	2.11E+09	0.00205451	0.158	0.0228	15	-5	-26	0.00205829	26.48											
C-S88@16	8.05	-1957	5855	2.42	2.09E+09	0.00205223	0.184	0.0234	16	-5	-25	0.00205601	25.34											
C-S88@17	8.12	-1922	5851	2.42	2.09E+09	0.00205314	0.197	0.0231	15	-5	-27	0.00205692	25.79											
C-S88@18	8.18	-1887	5847	2.42	2.09E+09	0.00205304	0.132	0.0247	15	-5	-27	0.00205682	25.74											
C-S88@19	8.25	-1852	5842	2.42	2.10E+09	0.00205399	0.188	0.0247	15	-5	-25	0.00205777	26.22											
C-S88@20	8.32	-1817	5838	2.42	2.08E+09	0.00205312	0.182	0.0258	16	-4	-27	0.00205690	25.78											
C-S88@21	8.38	-1782	5833	2.42	2.10E+09	0.00205438	0.160	0.0247	15	-5	-27	0.00205816	26.41											
C-S88@22	8.45	-1747	5829	2.41	2.08E+09	0.00205505	0.141	0.0256	16	-4	-27	0.00205884	26.75											
C-S88@23	8.52	-1712	5825	2.41	2.11E+09	0.00205332	0.155	0.0290	15	-4	-27	0.00205710	25.88											
C-S88@24	8.58	-1676	5820	2.41	2.12E+09	0.00205336	0.171	0.0295	15	-5	-26	0.00205714	25.90											
C-S88@25	8.65	-1640	5816	2.41	2.11E+09	0.00205116	0.133	0.0294	15	-4	-26	0.00205494	24.81											
C-S88@26	8.72	-1604	5812	2.41	2.12E+09	0.00205156	0.133	0.0287	15	-3	-27	0.00205533	25.00											
C-S88@27	8.80	-1568	5807	2.41	2.10E+09	0.00205259	0.155	0.0285	15	-3	-26	0.00205637	25.52											
C-S88@28	8.87	-1532	5803	2.41	2.11E+09	0.00205095	0.161	0.0272	15	-5	-26	0.00205472	24.70											
C-S88@29	8.93	-1496	5798	2.41	2.06E+09	0.00205181	0.129	0.0282	14	-4	-25	0.00205558	25.13											
C-S88@30	9.00	-1460	5794	2.41	2.07E+09	0.00205001	0.162	0.0278	15	-4	-27	0.00205378	24.23											
C-S88@31	9.07	-1424	5790	2.40	2.09E+09	0.00205156	0.134	0.0254	14	-2	-26	0.00205533	25.00											
C-S88@32	9.13	-1388	5785	2.41	2.10E+09	0.00205128	0.144	0.0274	14	-4	-27	0.00205506	24.86											
C-S88@33	9.20	-1352	5781	2.40	2.09E+09	0.00205173	0.138	0.0282	14	-3	-27	0.00205551	25.09											
C-S88@34	9.42	-1316	5777	2.40	1.99E+09	0.00204730	0.201	0.0301	15	-3	-27	0.00205107	22.87											
C-S88@35	9.48	-1280	5772	2.40	2.10E+09	0.00205065	0.154	0.0265	14	-3	-26	0.00205442	24.55											
C-S88@36	9.55	-1244	5768	2.40	2.09E+09	0.00205054	0.132	0.0274	13	-3	-26	0.00205432	24.50											
C-S88@37	9.62	-1208	5763	2.40	2.09E+09	0.00205089	0.174	0.0263	14	-3	-26	0.00205467	24.67											
C-S88@38	9.68	-1172	5759	2.40	2.08E+09	0.00205008	0.172	0.0262	14	-3	-26	0.00205385	24.26											
C-S88@39	9.75	-1136	5755	2.40	2.01E+09	0.00204976	0.148	0.0301	13	-3	-24	0.00205354	24.11											
C-S88@40	9.82	-1100	5750	2.40	2.07E+09	0.00205143	0.181	0.0275	13	-3	-25	0.00205521	24.94											
C-S88@41	9.88	-1064	5746	2.40	2.11E+09	0.00205085	0.124	0.0307	13	-3	-28	0.00205462	24.65											
C-S88@42	9.95	-1028	5742	2.40	2.10E+09	0.00205136	0.148	0.0302	13	-3	-27	0.00205513	24.90											
C-S88@43	10.02	-992	5737	2.40	2.11E+09	0.00205175	0.121	0.0298	13	-2	-27	0.00205553	25.10											
C-S88@44	10.08	-956	5733	2.40	2.07E+09	0.00205161	0.129	0.0292	13	-3	-25	0.00205539	25.03											
C-S88@45	10.17	-920	5728	2.40	2.03E+09	0.00204925	0.162	0.0258	12	-3	-26	0.00205302	23.85											
C-S88@46	10.23	-884	5724	2.39	2.11E+09	0.00204812	0.172	0.0273	12	-3	-27	0.00205189	23.28											
C-S88@47	10.30	-848	5720	2.39	2.12E+09	0.00204736	0.153	0.0275	12	-3	-28	0.00205113	22.91											
C-S88@48	10.37	-812	5715	2.39	2.10E+09	0.00204496	0.159	0.0284	11	-3	-26	0.00204873	21.71											
C-S88@49	10.43	-776	5711	2.39	2.09E+09	0.00204605	0.161	0.0283	11	-2	-26	0.00204982	22.25											
C-S88@50	10.50	-740	5707	2.39	2.10E+09	0.00204616	0.135	0.0268	12	-3	-27	0.00204992	22.30											
C-S88@51	10.57	-704	5702	2.39	2.09E+09	0.00204658	0.137	0.0257	11	-3	-27	0.00205034	22.51											
C-S88@52	10.63	-668	5698	2.39	2.10E+09	0.00204771	0.159	0.0278	12	-3	-28	0.00205148	23.08											
C-S88@53	10.70	-632	5694	2.39	2.10E+09	0.00204710	0.157	0.0287	12	-3	-27	0.00205087	22.77											
C-S88@54	10.92	-596	5689	2.39	2.11E+09	0.00204701	0.158	0.0289	11	-2	-26	0.00205078	22.73											
C-S88@55	10.98	-560	5685	2.39	2.08E+09	0.00204853	0.120	0.0283	11	-3	-26	0.00205230	23.49											
C-S88@56	11.05	-524	5680	2.39	2.11E+09	0.00204520	0.157	0.0293	10	-3	-25	0.00204896	21.82											
C-S88@57	11.12	-488	5677	2.38	2.12E+09	0.00204462	0.160	0.0302	10	-2	-27	0.00204838	21.53											
D-S88@01	11.18	-2228	3735	2.38	2.04E+09	0.00205433	0.193	0.0253	17	0	-26	0.00205811	26.39											
D-S88@02	11.25	-2260	3750	2.39	2.06E+09	0.00205350	0.177	0.0277	17	-1	-26	0.00205727	25.97											
D-S88@03	11.32	-2292	3765	2.39	2.06E+09	0.00205223	0.162	0.0240	17	-1	-25	0.00205600	25.34											
