Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment										
K-S88@20	18.90	-2389	-515	2.51	2.16E+09	0.00205145	0.165	0.0239	13	-2	-24	0.00205523	24.95											
K-S88@21	18.97	-2413	-540	2.51	2.15E+09	0.00204858	0.178	0.0241	13	-2	-23	0.00205235	23.51											
K-S88@22	19.03	-2437	-565	2.51	2.15E+09	0.00204913	0.153	0.0224	13	-2	-23	0.00205290	23.79											
K-S88@23	19.10	-2461	-590	2.51	2.15E+09	0.00204750	0.169	0.0237	13	-2	-22	0.00205127	22.97											
K-S88@24	19.17	-2485	-615	2.51	2.17E+09	0.00204900	0.156	0.0245	13	-2	-23	0.00205277	23.72											
K-S88@25	19.23	-2509	-640	2.50	2.18E+09	0.00204751	0.185	0.0266	13	-2	-24	0.00205128	22.98											
K-S88@26	19.30	-2533	-665	2.50	2.18E+09	0.00204838	0.171	0.0253	13	-3	-23	0.00205215	23.42											
K-S88@27	19.37	-2557	-690	2.50	2.18E+09	0.00204712	0.158	0.0237	13	-2	-23	0.00205089	22.78											
K-S88@28	19.43	-2581	-715	2.50	2.18E+09	0.00204868	0.136	0.0255	14	-3	-24	0.00205246	23.57											
K-S88@29	19.63	-2605	-740	2.50	2.18E+09	0.00204646	0.152	0.0276	14	-3	-24	0.00205022	22.45											
K-S88@30	19.70	-2629	-765	2.50	2.17E+09	0.00204861	0.205	0.0259	14	-2	-23	0.00205238	23.53											
K-S88@31	19.77	-2653	-790	2.50	2.17E+09	0.00204931	0.156	0.0262	14	-2	-23	0.00205308	23.88											
K-S88@32	19.83	-2677	-815	2.50	2.16E+09	0.00205033	0.183	0.0245	14	-3	-23	0.00205410	24.39											
K-S88@33	19.90	-2701	-840	2.50	2.16E+09	0.00204927	0.207	0.0248	14	-3	-23	0.00205304	23.86											
K-S88@34	19.97	-2725	-865	2.50	2.18E+09	0.00204861	0.102	0.0270	14	-2	-24	0.00205238	23.53											
K-S88@35	20.03	-2749	-890	2.50	2.18E+09	0.00204872	0.167	0.0274	14	-3	-23	0.00205249	23.59											
K-S88@36	20.10	-2773	-915	2.50	2.19E+09	0.00205359	0.160	0.0269	14	-2	-23	0.00205737	26.02											
K-S88@37	20.17	-2797	-940	2.50	2.19E+09	0.00205400	0.106	0.0264	13	-2	-22	0.00205778	26.22											
K-S88@38	20.23	-2821	-965	2.50	2.18E+09	0.00205207	0.146	0.0273	15	-2	-24	0.00205584	25.26											
K-S88@39	20.30	-2845	-990	2.50	2.18E+09	0.00204947	0.151	0.0276	15	-2	-23	0.00205325	23.96											
K-S88@40	20.38	-2869	-1014	2.50	2.17E+09	0.00205055	0.148	0.0277	15	-2	-22	0.00205433	24.50											
K-S88@41	20.45	-2893	-1038	2.50	2.18E+09	0.00204986	0.176	0.0268	15	-2	-23	0.00205363	24.15											
K-S88@42	20.52	-2917	-1062	2.50	2.18E+09	0.00204863	0.158	0.0289	15	-2	-23	0.00205240	23.54											
K-S88@43	20.58	-2941	-1086	2.50	2.17E+09	0.00204900	0.136	0.0283	15	-2	-23	0.00205277	23.72											
K-S88@44	20.65	-2965	-1110	2.50	2.18E+09	0.00204817	0.142	0.0268	15	-3	-22	0.00205194	23.31											
K-S88@45	20.72	-2989	-1134	2.50	2.16E+09	0.00204812	0.168	0.0271	15	-2	-22	0.00205189	23.28											
K-S88@46	20.78	-3013	-1158	2.49	2.17E+09	0.00204921	0.202	0.0268	15	-2	-21	0.00205298	23.83											
K-S88@47	20.85	-3037	-1182	2.49	2.17E+09	0.00204979	0.183	0.0268	15	-2	-22	0.00205356	24.12											
K-S88@48	21.05	-3061	-1206	2.49	2.04E+09	0.00204459	0.172	0.0278	15	-2	-21	0.00204836	21.52											
K-S88@49	21.12	-3085	-1230	2.50	2.13E+09	0.00204609	0.161	0.0279	15	-2	-22	0.00204986	22.27											
K-S88@50	21.18	-3109	-1254	2.50	2.14E+09	0.00204687	0.165	0.0271	16	-2	-23	0.00205064	22.66											
K-S88@51	21.25	-3133	-1278	2.50	2.16E+09	0.00204577	0.175	0.0289	16	-2	-22	0.00204953	22.11											
K-S88@52	21.32	-3157	-1302	2.50	2.19E+09	0.00204501	0.156	0.0278	16	-2	-23	0.00204877	21.73											
K-S88@53	21.38	-3181	-1326	2.50	2.18E+09	0.00204343	0.177	0.0277	16	-2	-23	0.00204719	20.94											
K-S88@54	21.45	-3205	-1350	2.50	2.18E+09	0.00204291	0.154	0.0283	16	-2	-22	0.00204667	20.68											
K-S88@55	21.52	-3229	-1374	2.50	2.14E+09	0.00204353	0.159	0.0273	16	-2	-22	0.00204729	20.99											
K-S88@56	21.58	-3253	-1398	2.49	2.18E+09	0.00204499	0.155	0.0262	16	-2	-21	0.00204876	21.72											
K-S88@57	21.65	-3277	-1422	2.49	2.16E+09	0.00204473	0.144	0.0271	16	-2	-22	0.00204849	21.59											
K-S88@58	21.72	-3301	-1446	2.49	2.18E+09	0.00204450	0.151	0.0272	16	-2	-22	0.00204826	21.48											
K-S88@59	21.78	-3325	-1470	2.49	2.15E+09	0.00204452	0.163	0.0267	16	-2	-22	0.00204829	21.49											
K-S88@60	21.85	-3349	-1494	2.49	2.16E+09	0.00204470	0.160	0.0268	16	-2	-21	0.00204846	21.57											
L-S88@01	21.92	-103	-5494	2.49	2.17E+09	0.00204866	0.183	0.0268	0	-10	-26	0.00205243	23.56											
L-S88@02	21.98	-135	-5510	2.49	2.16E+09	0.00204449	0.164	0.0215	1	-11	-26	0.00204826	21.47											
L-S88@03	22.05	-167	-5526	2.49	2.17E+09	0.00204498	0.175	0.0243	1	-10	-25	0.00204875	21.72											
L-S88@04	22.12	-199	-5542	2.49	2.17E+09	0.00205198	0.162	0.0256	1	-10	-25	0.00205575	25.21											
L-S88@05	22.18	-231	-5558	2.49	2.16E+09	0.00204627	0.168	0.0231	1	-10	-22	0.00205003	22.36											
L-S88@06	22.25	-263	-5574	2.49	2.16E+09	0.00204572	0.155	0.0227	1	-10	-23	0.00204949	22.09											
L-S88@07	22.32	-295	-5590	2.49	2.16E+09	0.00204731	0.178	0.0254	1	-10	-23	0.00205108	22.88											
L-S88@08	22.53	-327	-5606	2.49	2.16E+09	0.00205275	0.191	0.0246	1	-10	-22	0.00205652	25.60											
L-S88@09	22.60	-359	-5621	2.49	2.15E+09	0.00204955	0.170	0.0224	1	-10	-22	0.00205332	24.00											
L-S88@10	22.67	-391	-5636	2.49	2.14E+09	0.00204650	0.167	0.0229	1	-9	-23	0.00205027	22.48											
L-S88@11	22.73	-423	-5651	2.49	2.15E+09	0.00204976	0.203	0.0250	1	-9	-22	0.00205353	24.10											
L-S88@12	22.80	-455	-5666	2.49	2.16E+09	0.00205180	0.146	0.0243	1	-9	-22	0.00205558	25.12											
L-S88@13	22.87	-487	-5681	2.49	2.14E+09	0.00204798	0.173	0.0211	1	-9	-21	0.00205174	23.21											
L-S88@14	22.93	-519	-5696	2.49	2.14E+09	0.00204784	0.149	0.0232	1	-9	-23	0.00205161	23.14											
L-S88@15	23.00	-551	-5711	2.49	2.12E+09	0.00204843	0.176	0.0254	1	-9	-21	0.00205220	23.44											
L-S88@16	23.07	-583	-5726	2.49	2.14E+09	0.00204900	0.170	0.0259	1	-9	-21	0.00205277	23.73											
L-S88@17	23.13	-615	-5741	2.49	2.15E+09	0.00204591	0.155	0.0251	1	-9	-21	0.00204967	22.18											
L-S88@18	23.20	-647	-5756	2.49	2.17E+09	0.00204669	0.187	0.0262	1	-9	-21	0.00205046	22.57											
L-S88@19	23.27	-679	-5771	2.49	2.14E+09	0.00204951	0.154	0.0247	1	-9	-21	0.00205328	23.98											
L-S88@20	23.33	-711	-5786	2.49	2.15E+09	0.00205393	0.154	0.0267	1	-9	-21	0.00205771	26.19											
L-S88@21	23.40	-743	-5801	2.49	2.15E+09	0.00205094	0.189	0.0255	1	-9	-22	0.00205472	24.69											
L-S88@22	23.47	-775	-5816	2.49	2.15E+09	0.00204901	0.150	0.0256	2	-9	-22	0.00205278	23.73											
L-S88@23	23.53	-807	-5831	2.49	2.15E+09	0.00204866	0.182	0.0248	2	-9	-21	0.00205243	23.55											
L-S88@24	23.60	-839	-5846	2.49	2.13E+09	0.00204545	0.168	0.0238	2	-9	-23	0.00204922	21.95											
L-S88@25	23.67	-871	-5861	2.49	2.15E+09	0.00205066	0.151	0.0256	2	-9	-21	0.00205443	24.55											
L-S88@26	23.73	-903	-5876	2.49	2.16E+09	0.00204974	0.185	0.0249	2	-8	-22	0.00205351	24.09											
L-S88@27	23.80	-935	-5891	2.49	2.14E+09	0.00204978	0.142	0.0243	2	-8	-21	0.00205355	24.11											
L-S88@28	24.02	-967	-5906	2.48	2.14E+09	0.00204839	0.179	0.0251	2	-8	-22	0.00205216	23.42											
L-S88@29	24.08	-999	-5921	2.49	2.15E+09	0.00204779	0.162	0.0251	2	-8	-21	0.00205156	23.12											
L-S88@30	24.15	-1031	-5936	2.49	2.15E+09	0.00204800	0.170	0.0253	2	-8	-22	0.00205177	23.22											
L-S88@31	24.22	-1063	-5951	2.49	2.16E+09	0.00205005	0.138	0.0257	2	-8	-21	0.00205382	24.25											
L-S88@32	24.28	-1095	-5966	2.49	2.15E+09	0.00205027	0.183	0.0256	2	-8	-22	0.00205404	24.36											
L-S88@33	24.35	-1127	-5981	2.49	2.14E+09	0.00204837	0.160	0.0241	2	-8	-22	0.00205214	23.41											
L-S88@34	24.42	-1158	-5996	2.49	2.15E+09	0.00204860	0.167	0.0251	3	-8	-22	0.00205237	23.52											
L-S88@35	24.48	-1189	-6011	2.48	2.16E+09	0.00204787	0.190	0.0265	3	-7	-22	0.00205164	23.16											
L-S88@36	24.55	-1220	-6026	2.48	2.15E+09	0.00204605	0.177	0.0268	3	-7	-21	0.00204981	22.25											
L-S88@37	24.62	-1251	-6041	2.48	2.14E+09	0.00204597	0.159	0.0285	2	-8	-21	0.00204974	22.21											
L-S88@38	24.68	-1282	-6056	2.48	2.15E+09	0.00204819	0.163	0.0256	3	-7	-21	0.00205196	23.32											
L-S88@39	24.75	-1313	-6071	2.48	2.16E+09	0.00204952	0.131	0.0266	3	-7	-20	0.00205329	23.98											
L-S88@40	24.82	-1344	-6086	2.48	2.15E+09	0.00204963	0.136	0.0266	3	-7	-20	0.00205340	24.04											
L-S88@41	24.88	-1375	-6101	2.48	2.16E+09	0.00204888	0.168	0.0267	3	-8	-22	0.00205265	23.66											
L-S88@42	24.95	-1406	-6116	2.48	2.16E+09	0.00204734	0.162	0.0265	3	-7	-21	0.00205110	22.89											
L-S88@43	25.02	-1437	-6131	2.48	2.16E+09	0.00204475	0.115	0.0264	3	-7	-21	0.00204851	21.60											
L-S88@44	25.08	-1468	-6146	2.48	2.14E+09	0.00204387	0.164	0.0288	3	-7	-20	0.00204763	21.16											
L-S88@45	25.15	-1499	-6161	2.48	2.12E+09	0.00204337	0.147	0.0290	3	-7	-22	0.00204713	20.91											
L-S88@46	25.22	-1530	-6176	2.48	2.02E+09	0.00204208	0.145	0.0302	3	-6	-21	0.00204584	20.27											
L-S88@47	25.28	-1561	-6191	2.48	2.06E+09	0.00204269	0.185	0.0278	3	-6	-20	0.00204645	20.57											
L-S88@48	25.48	-1592	-6206	2.48	2.12E+09	0.00204167	0.196	0.0276	3	-6	-19	0.00204543	20.06											
L-S88@49	25.55	-1623	-6221	2.48	2.13E+09	0.00204384	0.140	0.0263	3	-6	-21	0.00204760	21.15											
L-S88@50	25.62	-1654	-6236	2.48	2.15E+09	0.00204407	0.144	0.0249	3	-6	-21	0.00204783	21.26											
L-S88@51	25.70	-1685	-6251	2.48	2.18E+09	0.00204328	0.183	0.0255	3	-5	-20	0.00204704	20.87											
L-S88@52	25.77	-1716	-6266	2.48	2.16E+09	0.00204325	0.169	0.0263	3	-5	-20	0.00204701	20.85											
L-S88@53	25.83	-1747	-6281	2.48	2.15E+09	0.00204390	0.143	0.0261	3	-5	-20	0.00204766	21.18											
L-S88@54	25.90	-1778	-6296	2.48	2.14E+09	0.00204396	0.140	0.0259	3	-5	-19	0.00204772	21.21											
L-S88@55	25.97	-1809	-6311	2.48	2.16E+09	0.00204410	0.154	0.0263	3	-5	-20	0.00204786	21.28											
L-S88@56	26.03	-1840	-6326	2.48	2.14E+09	0.00204527	0.153	0.0257	3	-5	-19	0.00204903	21.86											
M-S88@01	26.10	-1946	-4129	2.47	2.14E+09	0.00204920	0.183	0.0253	6	-6	-22	0.00205297	23.82											
M-S88@02	26.17	-1918	-4108	2.47	2.15E+09	0.00204479	0.132	0.0237	7	-6	-23	0.00204855	21.62											
M-S88@03	26.23	-1890	-4086	2.48	2.13E+09	0.00205006	0.146	0.0221	7	-6	-23	0.00205383	24.25											
M-S88@04	26.30	-1862	-4064	2.48	2.14E+09	0.00204979	0.179	0.0232	7	-6	-23	0.00205356	24.12											
M-S88@05	26.37	-1834	-4042	2.47	2.13E+09	0.00204839	0.191	0.0228	7	-6	-23	0.00205216	23.42											
M-S88@06	26.43	-1806	-4020	2.48	2.14E+09	0.00205342	0.167	0.0216	7	-6	-24	0.00205720	25.93											
M-S88@07	26.50	-1778	-3998	2.48	2.12E+09	0.00204750	0.182	0.0201	7	-6	-24	0.00205127	22.98											
M-S88@08	26.57	-1750	-3976	2.48	2.13E+09	0.00204997	0.214	0.0199	6	-6	-24	0.00205374	24.21											
M-S88@09	26.63	-1722	-3954	2.48	2.12E+09	0.00205604	0.174	0.0200	7	-7	-25	0.00205982	27.24											
M-S88@10	26.70	-1693	-3932	2.47	2.13E+09	0.00204691	0.186	0.0205	7	-7	-24	0.00205067	22.68											
M-S88@11	26.77	-1664	-3910	2.47	2.15E+09	0.00204735	0.154	0.0195	7	-7	-24	0.00205112	22.90											
M-S88@12	0.13	-1635	-3888	2.47	2.13E+09	0.00204734	0.152	0.0214	7	-7	-25	0.00205110	22.89											
M-S88@13	0.20	-1606	-3866	2.47	2.13E+09	0.00204945	0.178	0.0213	6	-7	-24	0.00205322	23.95											
M-S88@14	0.27	-1577	-3844	2.47	2.14E+09	0.00204924	0.181	0.0215	7	-7	-25	0.00205301	23.84											
M-S88@15	0.33	-1548	-3822	2.47	2.14E+09	0.00204737	0.171	0.0216	6	-7	-23	0.00205114	22.91											
M-S88@16	0.40	-1519	-3800	2.47	2.14E+09	0.00204833	0.193	0.0218	6	-7	-25	0.00205210	23.39											
M-S88@17	0.47	-1490	-3778	2.47	2.14E+09	0.00204713	0.137	0.0233	6	-7	-25	0.00205090	22.79											
M-S88@18	0.53	-1461	-3756	2.47	2.15E+09	0.00205321	0.152	0.0225	6	-7	-24	0.00205699	25.83											
M-S88@19	0.60	-1432	-3734	2.47	2.14E+09	0.00205175	0.159	0.0228	6	-7	-24	0.00205553	25.10											
M-S88@20	0.67	-1403	-3712	2.47	2.13E+09	0.00205090	0.183	0.0222	6	-8	-25	0.00205468	24.68											
M-S88@21	0.73	-1374	-3690	2.47	2.13E+09	0.00204989	0.157	0.0213	5	-8	-25	0.00205366	24.17											
M-S88@22	0.80	-1345	-3668	2.47	2.15E+09	0.00204731	0.172	0.0213	5	-8	-25	0.00205107	22.88											
M-S88@23	0.87	-1316	-3646	2.47	2.14E+09	0.00204755	0.172	0.0237	5	-8	-24	0.00205132	23.00											
M-S88@24	0.93	-1287	-3624	2.47	2.15E+09	0.00204698	0.183	0.0232	5	-8	-25	0.00205074	22.71											
M-S88@25	1.02	-1258	-3602	2.47	2.14E+09	0.00204472	0.139	0.0266	5	-8	-25	0.00204848	21.59											
M-S88@26	1.08	-1229	-3580	2.46	2.16E+09	0.00204533	0.166	0.0267	5	-8	-24	0.00204909	21.89											
M-S88@27	1.15	-1200	-3558	2.46	2.16E+09	0.00205101	0.157	0.0264	5	-8	-24	0.00205479	24.73											
M-S88@28	1.22	-1171	-3536	2.47	2.17E+09	0.00204880	0.176	0.0281	4	-8	-25	0.00205257	23.62											
M-S88@29	1.28	-1142	-3514	2.47	2.14E+09	0.00204930	0.145	0.0247	4	-8	-24	0.00205307	23.87											
M-S88@30	1.35	-1113	-3492	2.46	2.16E+09	0.00204866	0.178	0.0239	5	-8	-24	0.00205243	23.55											
M-S88@31	1.42	-1084	-3470	2.46	2.16E+09	0.00204782	0.152	0.0274	4	-8	-24	0.00205159	23.13											
M-S88@32	1.62	-1055	-3448	2.46	2.15E+09	0.00204783	0.156	0.0277	4	-8	-25	0.00205160	23.14											
M-S88@33	1.68	-1026	-3426	2.46	2.14E+09	0.00204696	0.125	0.0264	4	-8	-25	0.00205072	22.70											
M-S88@34	1.75	-997	-3404	2.46	2.16E+09	0.00204642	0.161	0.0274	4	-8	-24	0.00205019	22.43											
M-S88@35	1.82	-968	-3382	2.46	2.14E+09	0.00204689	0.154	0.0295	4	-8	-24	0.00205065	22.67											
M-S88@36	1.88	-939	-3360	2.46	2.12E+09	0.00204716	0.153	0.0306	4	-8	-25	0.00205093	22.80											
M-S88@37	1.95	-910	-3338	2.46	2.15E+09	0.00204671	0.169	0.0276	4	-8	-25	0.00205048	22.58											
M-S88@38	2.02	-881	-3316	2.46	2.14E+09	0.00204279	0.182	0.0357	4	-8	-24	0.00204655	20.62											
M-S88@39	2.08	-852	-3294	2.46	2.09E+09	0.00204532	0.205	0.0290	3	-8	-23	0.00204908	21.88											
M-S88@40	2.15	-823	-3272	2.46	2.11E+09	0.00204384	0.181	0.0287	3	-8	-25	0.00204760	21.15											
M-S88@41	2.22	-794	-3250	2.46	2.11E+09	0.00204330	0.136	0.0314	3	-8	-24	0.00204706	20.88											
M-S88@42	2.28	-765	-3228	2.46	2.11E+09	0.00204323	0.168	0.0296	3	-8	-23	0.00204699	20.84											
M-S88@43	2.35	-736	-3206	2.46	2.13E+09	0.00204347	0.185	0.0284	3	-8	-24	0.00204723	20.96											
M-S88@44	2.42	-707	-3184	2.46	2.15E+09	0.00204475	0.166	0.0272	3	-8	-25	0.00204851	21.60											
M-S88@45	2.48	-678	-3162	2.46	2.15E+09	0.00204633	0.177	0.0268	3	-8	-24	0.00205010	22.39											
M-S88@46	2.55	-649	-3140	2.46	2.16E+09	0.00204373	0.155	0.0271	3	-8	-25	0.00204749	21.09											
M-S88@47	2.62	-620	-3118	2.46	2.16E+09	0.00204399	0.192	0.0258	3	-8	-24	0.00204775	21.22											
M-S88@48	2.68	-591	-3096	2.46	2.16E+09	0.00204380	0.129	0.0267	3	-8	-25	0.00204757	21.13											
M-S88@49	2.75	-562	-3074	2.46	2.15E+09	0.00204384	0.145	0.0270	2	-8	-25	0.00204760	21.15											
M-S88@50	2.82	-533	-3052	2.46	2.16E+09	0.00204568	0.154	0.0262	2	-8	-24	0.00204944	22.06											
M-S88@51	2.90	-504	-3030	2.45	2.11E+09	0.00204326	0.177	0.0265	2	-8	-23	0.00204702	20.86											
M-S88@52	2.97	-475	-3008	2.46	2.09E+09	0.00204413	0.159	0.0276	2	-8	-25	0.00204789	21.29											
